iter	RMSE
0	262.3417827
1	261.2045358
2	260.0088506
3	258.8347169
4	257.5084917
5	256.208464
6	255.0003399
7	253.796893
8	252.6720352
9	251.4451008
10	250.2598614
11	249.0651415
12	247.889133
13	246.7254125
14	245.6003356
15	244.5050125
16	243.3506583
17	242.1570059
18	241.0142313
19	239.9408336
20	238.885997
21	237.7473201
22	236.5594882
23	235.5035777
24	234.4562314
25	233.4235364
26	232.372227
27	231.3049542
28	230.277545
29	229.2241267
30	228.0990707
31	227.0815189
32	226.0714483
33	225.071064
34	223.9808693
35	222.9693454
36	221.9990565
37	221.056618
38	220.0272696
39	218.9521757
40	217.8821146
41	216.906564
42	215.8337292
43	214.8675357
44	213.9261661
45	212.8950093
46	211.8625507
47	210.8465545
48	209.8745391
49	208.9708484
50	208.0299427
51	207.0335412
52	206.0713109
53	205.1768623
54	204.1951874
55	203.2208868
56	202.3164821
57	201.386805
58	200.5734562
59	199.5976415
60	198.7407058
61	197.7604782
62	196.8113644
63	195.8966675
64	195.1381725
65	194.353002
66	193.4471319
67	192.5802941
68	191.6919394
69	190.9539588
70	190.196612
71	189.3502888
72	188.4790974
73	187.5806373
74	186.676272
75	185.7913789
76	185.0318047
77	184.2295067
78	183.5011838
79	182.7135918
80	181.94114
81	181.2362259
82	180.4400431
83	179.5837331
84	178.752786
85	177.9263064
86	177.2384698
87	176.3965024
88	175.7986489
89	174.9838972
90	174.1833239
91	173.489116
92	172.7036015
93	172.026693
94	171.3897391
95	170.5790923
96	169.8213472
97	169.1605702
98	168.4385095
99	167.6571927
100	166.9691196
101	166.2119701
102	165.481364
103	164.7847519
104	164.0864471
105	163.4560273
106	162.7377497
107	161.9859659
108	161.3659707
109	160.6637776
110	159.9391016
111	159.2309607
112	158.5485159
113	157.8161
114	157.2204686
115	156.5018887
116	155.8961305
117	155.2924746
118	154.6611853
119	154.0772445
120	153.4181563
121	152.7405785
122	152.1503016
123	151.6066991
124	150.9566725
125	150.3129583
126	149.6247721
127	149.0757764
128	148.4516779
129	147.9202803
130	147.2604779
131	146.7027979
132	146.2290157
133	145.6040546
134	145.0739972
135	144.4943696
136	143.8503023
137	143.3573931
138	142.7956159
139	142.2334007
140	141.6598974
141	141.0463154
142	140.4298758
143	139.8255062
144	139.210909
145	138.6728675
146	138.0737865
147	137.4616941
148	136.8571147
149	136.2914593
150	135.7154752
151	135.3008862
152	134.6890629
153	134.1031893
154	133.524158
155	132.9389687
156	132.4124078
157	131.8750036
158	131.3441861
159	130.8050479
160	130.2826215
161	129.8669016
162	129.3099708
163	128.775245
164	128.2330579
165	127.7779324
166	127.3561589
167	126.8164198
168	126.3034186
169	125.8179694
170	125.3694991
171	124.8650057
172	124.4229765
173	123.9224227
174	123.5151887
175	122.9946381
176	122.4787881
177	122.0110916
178	121.6057099
179	121.1076806
180	120.6442525
181	120.1348123
182	119.7568814
183	119.3948929
184	118.9089557
185	118.4222748
186	117.9567386
187	117.5124455
188	117.0161737
189	116.5501322
190	116.14849
191	115.6734129
192	115.1986868
193	114.7536756
194	114.3019641
195	113.8263402
196	113.3861354
197	112.9290251
198	112.5175276
199	112.0782377
200	111.6632269
201	111.3515917
202	110.9760019
203	110.5433553
204	110.1499075
205	109.7393315
206	109.301795
207	108.8761621
208	108.5167514
209	108.1060328
210	107.6979615
211	107.2893038
212	106.8878293
213	106.5412363
214	106.1205654
215	105.7623195
216	105.3890924
217	104.99961
218	104.6003202
219	104.2477722
220	103.8509635
221	103.5758443
222	103.2094257
223	102.9595686
224	102.6549614
225	102.3078796
226	101.9205612
227	101.5555301
228	101.1883722
229	100.8931086
230	100.5254547
231	100.1676614
232	99.8705864
233	99.51968006
234	99.18354999
235	98.83517988
236	98.48327536
237	98.13711721
238	97.81680231
239	97.4713298
240	97.12140194
241	96.78077579
242	96.44054661
243	96.1688727
244	95.82178089
245	95.50798303
246	95.19498332
247	94.86489892
248	94.53374404
249	94.20025383
250	93.8511086
251	93.50943436
252	93.17266583
253	92.8382857
254	92.55218909
255	92.22944058
256	91.89670693
257	91.57007054
258	91.33090065
259	91.01465684
260	90.71123426
261	90.38536538
262	90.16577994
263	89.85063692
264	89.55126255
265	89.24488433
266	88.97434307
267	88.70592014
268	88.4057491
269	88.10454396
270	87.880106
271	87.60653916
272	87.36231151
273	87.08289492
274	86.79407707
275	86.59024817
276	86.32204387
277	86.04086514
278	85.77576677
279	85.50932362
280	85.24289664
281	84.98085165
282	84.69909994
283	84.44573575
284	84.18805606
285	83.92378717
286	83.64957479
287	83.37773306
288	83.1057548
289	82.92260638
290	82.76492374
291	82.51689672
292	82.28100405
293	82.06842478
294	81.84358021
295	81.62514372
296	81.38281151
297	81.14525637
298	80.96401432
299	80.71617643
300	80.47290786
301	80.24148047
302	80.0117666
303	79.77613907
304	79.55763452
305	79.30402482
306	79.05609929
307	78.86152368
308	78.63812075
309	78.39984871
310	78.17210367
311	78.03552175
312	77.8283154
313	77.60096662
314	77.36302332
315	77.14386106
316	76.91411809
317	76.72842592
318	76.50638371
319	76.28448506
320	76.07523937
321	75.89190942
322	75.66618039
323	75.4377387
324	75.25707634
325	75.03695815
326	74.82587863
327	74.61088552
328	74.40821013
329	74.20328691
