iter	Passed	Remaining
0	8	32744
1	16	32018
2	19	25469
3	23	23821
4	31	25434
5	40	26821
6	48	27515
7	56	27966
8	62	27702
9	65	26069
10	69	25306
11	72	24069
12	76	23426
13	81	23148
14	82	22032
15	86	21505
16	89	21004
17	92	20384
18	95	20001
19	98	19689
20	101	19229
21	104	18958
22	108	18704
23	111	18475
24	114	18263
25	118	18062
26	121	17880
27	124	17711
28	128	17555
29	131	17403
30	133	17054
31	136	16928
32	139	16812
33	143	16698
34	146	16587
35	149	16491
36	153	16397
37	154	16100
38	157	16025
39	161	15947
40	164	15873
41	167	15804
42	171	15737
43	172	15526
44	175	15467
45	179	15413
46	182	15367
47	184	15182
48	187	15135
49	191	15097
50	194	15055
51	197	15032
52	199	14868
53	202	14828
54	204	14660
55	207	14625
56	210	14592
57	214	14564
58	217	14550
59	221	14522
60	224	14514
61	228	14486
62	230	14407
63	233	14382
64	237	14361
65	240	14336
66	243	14313
67	247	14290
68	250	14271
69	253	14254
70	255	14141
71	258	14121
72	262	14102
73	263	13985
74	266	13922
75	269	13906
76	272	13897
77	276	13883
78	279	13883
79	283	13869
80	286	13852
81	287	13735
82	290	13722
83	294	13715
84	295	13628
85	297	13542
86	300	13530
87	304	13520
88	307	13514
89	310	13503
90	312	13437
91	316	13428
92	319	13417
93	321	13377
94	325	13367
95	328	13360
96	331	13352
97	335	13345
98	338	13336
99	341	13330
100	345	13321
101	348	13312
102	351	13305
103	354	13298
104	356	13211
105	359	13203
106	362	13199
107	366	13196
108	368	13145
109	369	13080
110	373	13074
111	376	13068
112	379	13063
113	383	13059
114	386	13053
115	389	13048
116	393	13043
117	394	12985
118	398	12980
119	400	12948
120	403	12943
121	405	12875
122	406	12818
123	410	12816
124	413	12813
125	416	12809
126	419	12807
127	423	12805
128	426	12809
129	430	12805
130	433	12802
131	436	12801
132	440	12798
133	443	12796
134	445	12747
135	448	12744
136	451	12741
137	455	12738
138	458	12735
139	459	12681
140	463	12678
141	466	12673
142	469	12669
143	473	12673
144	476	12672
145	479	12669
146	483	12666
147	486	12666
148	489	12663
149	493	12659
150	496	12655
151	499	12652
152	503	12649
153	504	12594
154	507	12592
155	510	12589
156	514	12586
157	517	12585
158	520	12582
159	524	12579
160	527	12577
161	530	12576
162	534	12574
163	535	12528
164	538	12526
165	542	12525
166	545	12530
167	549	12527
168	552	12524
169	555	12520
170	559	12519
171	562	12518
172	565	12498
