iter	RMSE
0	263.8873187
1	262.7433952
2	261.540976
3	260.3252581
4	258.9942487
5	257.6886887
6	256.4589372
7	255.3041939
8	254.1718867
9	253.0021657
10	251.7378721
11	250.5601962
12	249.4491215
13	248.2994825
14	247.1427216
15	245.9770982
16	244.8366561
17	243.7009804
18	242.6028764
19	241.4331687
20	240.3124529
21	239.2412978
22	238.122607
23	237.0101636
24	235.9461204
25	234.8828677
26	233.7852381
27	232.7687078
28	231.6315739
29	230.5780771
30	229.5494775
31	228.533475
32	227.4321996
33	226.3490562
34	225.3803327
35	224.3394817
36	223.2810085
37	222.3874408
38	221.2880447
39	220.319825
40	219.3468084
41	218.2979912
42	217.2345479
43	216.2703659
44	215.2942878
45	214.2909829
46	213.239425
47	212.3502834
48	211.3129336
49	210.3318653
50	209.3310727
51	208.3339618
52	207.4165616
53	206.4118343
54	205.5002181
55	204.5803595
56	203.6842895
57	202.712258
58	201.8697886
59	201.0746617
60	200.1820479
61	199.2003204
62	198.4086902
63	197.4962623
64	196.5898286
65	195.6393005
66	194.7464449
67	193.8205745
68	192.9006926
69	192.0017374
70	191.1887191
71	190.2719859
72	189.3765668
73	188.5775654
74	187.7994161
75	187.0278753
76	186.1165933
77	185.2784806
78	184.3930716
79	183.4931429
80	182.6717072
81	181.9990561
82	181.1457979
83	180.2969721
84	179.5718486
85	178.8838223
86	178.1209013
87	177.383524
88	176.5639452
89	175.727123
90	174.9820092
91	174.1907974
92	173.4533175
93	172.641393
94	171.885458
95	171.2176299
96	170.4233494
97	169.6965891
98	168.9962533
99	168.2208479
100	167.5677745
101	166.9063549
102	166.1464328
103	165.4733144
104	164.8960853
105	164.2189776
106	163.4827301
107	162.8115917
108	162.1859063
109	161.6022807
110	160.8747156
111	160.1913392
112	159.4748081
113	158.8836743
114	158.2420141
115	157.6208505
116	156.9225713
117	156.3049519
118	155.5951183
119	154.9187912
120	154.2492408
121	153.7259482
122	153.1487412
123	152.5407956
124	152.000848
125	151.3394436
126	150.6780206
127	149.997939
128	149.4146179
129	148.7576517
130	148.1566148
131	147.5331286
132	146.8728108
133	146.2456903
134	145.7307313
135	145.0980242
136	144.5399713
137	143.8858924
138	143.2547222
139	142.7664922
140	142.2080435
141	141.649179
142	141.0820821
143	140.4711808
144	139.8580946
145	139.2598228
146	138.6509761
147	138.1136163
148	137.5204838
149	136.9140004
150	136.3352353
151	135.7634395
152	135.1807673
153	134.7669387
154	134.185906
155	133.6114522
156	133.0471336
157	132.5499899
158	132.0284835
159	131.4963064
160	130.9447508
161	130.4172105
162	129.9128395
163	129.4992718
164	129.0068596
165	128.4911398
166	127.9724307
167	127.4356132
168	126.8946964
169	126.3628432
170	125.8546134
171	125.3725707
172	124.931516
173	124.4465875
174	124.0113819
175	123.5125775
176	123.0851016
177	122.5673857
178	122.14527
179	121.6845986
180	121.3161131
181	120.8071393
182	120.3442954
183	119.8949723
184	119.4079451
185	118.9257757
186	118.4568907
187	117.99067
188	117.5125236
189	117.0488387
190	116.6213714
191	116.1392034
192	115.6972764
193	115.3112433
194	114.864517
195	114.4273243
196	113.9493961
197	113.6076943
198	113.1755307
199	112.7559396
200	112.3532392
201	111.9176905
202	111.497756
203	111.1436239
204	110.7171232
205	110.2985861
206	109.8879798
207	109.4831617
208	109.1196254
209	108.7098061
210	108.27992
211	107.8823617
212	107.4558073
213	107.0604894
214	106.7567788
215	106.3753597
216	106.045468
217	105.755508
218	105.3796202
219	104.9947456
220	104.5841022
221	104.2170766
222	103.8271826
223	103.4504354
224	103.127396
225	102.7747459
226	102.4006561
227	102.0189687
228	101.6473371
229	101.2603985
230	100.9741106
231	100.6169487
232	100.232974
