iter	RMSE
0	261.3062111
1	260.1933287
2	259.0011813
3	257.7986376
4	256.4792194
5	255.1813071
6	253.9681091
7	252.7696029
8	251.6529071
9	250.4315747
10	249.2640817
11	248.0810923
12	247.0129347
13	245.7588436
14	244.5508351
15	243.3201655
16	242.1958725
17	241.0559019
18	239.9753485
19	238.860798
20	237.7215521
21	236.5982466
22	235.4028879
23	234.3464107
24	233.2996664
25	232.2665986
26	231.2447948
27	230.1828233
28	229.2267096
29	228.1022383
30	227.0187285
31	226.0030489
32	224.8857714
33	223.8412635
34	222.7728676
35	221.7653286
36	220.7959564
37	219.7398775
38	218.7421217
39	217.6742746
40	216.585835
41	215.6334872
42	214.5664855
43	213.5811327
44	212.6387972
45	211.7079504
46	210.6803887
47	209.655888
48	208.695207
49	207.7275943
50	206.7897952
51	205.8190994
52	204.8719532
53	203.9776698
54	202.9831956
55	202.0215022
56	201.1748955
57	200.3525024
58	199.4951077
59	198.5134988
60	197.7252371
61	196.8808777
62	196.004446
63	195.0478197
64	194.1543586
65	193.2317285
66	192.4147374
67	191.5242461
68	190.7348864
69	189.8267251
70	188.9077087
71	188.0747029
72	187.1810076
73	186.3404617
74	185.4656934
75	184.6746722
76	183.8508426
77	183.0224561
78	182.2209758
79	181.5068126
80	180.6725105
81	179.8060077
82	178.9645321
83	178.1802307
84	177.4332298
85	176.5981556
86	175.8170652
87	175.0003893
88	174.249958
89	173.4880476
90	172.7499539
91	172.0560152
92	171.35587
93	170.5554847
94	169.8742601
95	169.2139227
96	168.4455695
97	167.7482108
98	166.9771228
99	166.3191231
100	165.6655242
101	164.8831527
102	164.1440721
103	163.4262571
104	162.7080289
105	161.9585782
106	161.345632
107	160.6348334
108	159.9969651
109	159.3535504
110	158.6331544
111	157.9527443
112	157.2928614
113	156.6684259
114	156.0556283
115	155.4026921
116	154.7755932
117	154.0919088
118	153.4647212
119	152.9050122
120	152.3425108
121	151.7527649
122	151.1258706
123	150.5404134
124	149.9870942
125	149.4402127
126	148.809425
127	148.1671464
128	147.5083247
129	146.9415245
130	146.2683219
131	145.6681583
132	145.0487801
133	144.4934264
134	143.9202682
135	143.2825906
136	142.6568422
137	142.031265
138	141.482116
139	140.9877674
140	140.4834393
141	139.9831745
142	139.4021994
143	138.7716325
144	138.1775506
145	137.5982552
146	137.0083107
147	136.5756676
148	135.9784352
149	135.4865884
150	134.9638019
151	134.3848541
152	133.888169
153	133.3382723
154	132.7792262
155	132.2067088
156	131.6492733
157	131.0990849
158	130.6446038
159	130.1228871
160	129.5836287
161	129.0273267
162	128.5452908
163	128.0249919
164	127.4794156
165	126.9380275
166	126.5691355
167	126.0294777
168	125.5606195
169	125.0164266
170	124.5270052
171	124.011091
172	123.5238689
173	122.9907469
174	122.5543244
175	122.0474615
176	121.5539924
177	121.1376751
178	120.7186411
179	120.3060102
180	119.8135282
181	119.3180422
182	118.9360718
183	118.5264458
184	118.0648567
185	117.5934249
186	117.1113828
187	116.684501
188	116.2419309
189	115.7765905
190	115.3650282
191	114.9127098
192	114.4482192
193	113.9795144
194	113.5214246
195	113.0714914
196	112.7546214
197	112.3063111
198	111.8477458
199	111.410143
200	111.0137437
201	110.584167
202	110.2267715
203	109.7892685
204	109.3908247
205	108.968283
206	108.5388756
207	108.1137502
208	107.6908354
209	107.3127728
210	106.8832434
211	106.4812086
212	106.1786279
213	105.8206634
214	105.4597283
215	105.0856144
216	104.6902412
217	104.3003715
218	103.8979708
219	103.5775285
220	103.1903827
221	102.7923347
222	102.4104775
223	102.0307632
224	101.730862
225	101.3845175
226	100.9952048
227	100.6426263
228	100.2870034
229	99.91900423
230	99.5821832
231	99.29362573
232	98.95087967
233	98.59268374
234	98.35238013
235	97.97831226
236	97.62379432
237	97.37264217
238	97.02647879
239	96.68935436
240	96.45144389
241	96.12004868
242	95.76814726
243	95.41386761
244	95.12262825
245	94.76500849
246	94.43852608
247	94.08685233
248	93.74408866
249	93.4135296
250	93.16347533
251	92.90094347
252	92.59320333
253	92.27848863
254	91.9773942
255	91.65437391
256	91.45925138
257	91.13968664
258	90.83262402
259	90.54578411
260	90.24301066
261	89.94345548
262	89.63682404
263	89.3155267
264	89.0123459
265	88.77704492
266	88.52003736
267	88.23785183
268	87.93822921
269	87.64782741
270	87.36668867
271	87.1155842
272	86.88048008
273	86.60435607
274	86.37218069
275	86.11363006
276	85.84081852
277	85.56030919
278	85.29616484
279	85.02590317
280	84.76768216
281	84.50523794
282	84.23087649
283	83.96492655
284	83.69981856
285	83.43169167
286	83.16040004
287	82.88803474
288	82.61539505
289	82.34366061
290	82.18698546
291	81.94028683
292	81.6974807
293	81.47907771
294	81.24507463
295	81.05927476
296	80.80492372
297	80.55418915
298	80.30455711
299	80.0500199
300	79.80816169
301	79.54813553
302	79.36650116
303	79.1309043
304	78.90490933
305	78.66351211
306	78.41651767
307	78.21054805
308	77.96772683
309	77.8279242
310	77.61227194
311	77.40525551
312	77.17476074
313	76.94905692
314	76.76356547
315	76.55153483
316	76.36750084
317	76.15500376
318	75.93489411
319	75.73194022
320	75.51136723
321	75.3634183
322	75.17462557
323	74.96371236
324	74.7599655
325	74.55693708
326	74.33727267
327	74.18486463
328	73.97987498
329	73.78946992
330	73.58171154
331	73.45677354
332	73.30505485
333	73.09705603
334	72.90084456
335	72.70548956
336	72.53417808
337	72.33806303
338	72.13801684
339	71.93388413
340	71.75813291
341	71.59649334
342	71.42071126
343	71.24755841
344	71.06654063
345	70.88503612
346	70.69856073
347	70.53961231
348	70.36327144
349	70.19027959
350	70.0150578
351	69.84986689
352	69.69957086
353	69.58073653
354	69.41456402
355	69.23235513
356	69.05826804
357	68.89659735
358	68.73975669
359	68.59571802
360	68.46377863
361	68.28409257
362	68.1123999
363	67.9661163
364	67.80782319
365	67.64989337
366	67.48745021
367	67.32441753
368	67.17280274
369	67.01883723
