iter	RMSE
0	261.676261
1	260.5309917
2	259.3328033
3	258.1233878
4	256.8002385
5	255.4993562
6	254.2834112
7	253.0802961
8	251.9524311
9	250.7077969
10	249.5381902
11	248.3489205
12	247.196171
13	246.0340223
14	244.8611572
15	243.7448251
16	242.6566834
17	241.5300108
18	240.3828194
19	239.2914906
20	238.128782
21	237.0083839
22	235.8244641
23	234.7650072
24	233.7143462
25	232.6029344
26	231.4527893
27	230.4346132
28	229.3858894
29	228.3313883
30	227.3308893
31	226.2454559
32	225.252182
33	224.2354884
34	223.1673329
35	222.1571856
36	221.2028277
37	220.1157834
38	219.1510724
39	218.0930338
40	217.1241564
41	216.1501263
42	215.2262025
43	214.247874
44	213.3141424
45	212.3951151
46	211.370631
47	210.4542324
48	209.5617155
49	208.5568424
50	207.5942037
51	206.6316896
52	205.7038672
53	204.7098118
54	203.7274955
55	202.838995
56	201.858194
57	200.9030457
58	199.9225305
59	199.0916269
60	198.210267
61	197.2357727
62	196.4540337
63	195.619657
64	194.7290849
65	193.783468
66	192.9000919
67	191.9841519
68	191.1750641
69	190.3005341
70	189.5416472
71	188.6467651
72	187.7560629
73	186.9782653
74	186.1200576
75	185.2715958
76	184.3924834
77	183.5982716
78	182.8153799
79	181.9680244
80	181.1326748
81	180.2909514
82	179.5385974
83	178.6771483
84	177.92748
85	177.0954481
86	176.3838777
87	175.6406127
88	174.8180382
89	174.0127244
90	173.2800521
91	172.5100432
92	171.7975413
93	171.1195285
94	170.3463033
95	169.5669789
96	168.7801194
97	168.1210535
98	167.4591811
99	166.7093494
100	165.9515495
101	165.2170086
102	164.5535179
103	163.8336761
104	163.1022425
105	162.3534546
106	161.6284627
107	160.8735974
108	160.1571025
109	159.4326861
110	158.8102827
111	158.1567393
112	157.449452
113	156.8145942
114	156.1142326
115	155.5056825
116	154.7795579
117	154.115317
118	153.5202405
119	152.9573652
120	152.3474557
121	151.7561336
122	151.1303446
123	150.4888154
124	149.9321419
125	149.3924377
126	148.8119097
127	148.1835931
128	147.6673696
129	147.0387706
130	146.4388411
131	145.797095
132	145.1589995
133	144.5945505
134	143.9937257
135	143.3734263
136	142.8208133
137	142.2377303
138	141.6142774
139	140.99908
140	140.5109431
141	139.9278522
142	139.3274305
143	138.7941383
144	138.1856004
145	137.669306
146	137.0762168
147	136.5464814
148	136.0990168
149	135.6163884
150	135.0746413
151	134.5208147
152	133.9568139
153	133.3801105
154	132.7856499
155	132.2235268
156	131.6670315
157	131.1882059
158	130.6566193
159	130.1603059
160	129.6712238
161	129.2597769
162	128.7029219
163	128.2046449
164	127.6899998
165	127.1739681
166	126.6376461
167	126.0962525
168	125.6119375
169	125.1050272
170	124.6436804
171	124.2218351
172	123.7174301
173	123.2149743
174	122.8053677
175	122.3029558
176	121.8410905
177	121.4090343
178	120.9509047
179	120.4582328
180	119.972365
181	119.4772027
182	119.1452999
183	118.6627009
184	118.2937837
185	117.8287943
186	117.3538191
187	116.9469435
188	116.551021
189	116.0835887
190	115.633842
191	115.1541651
192	114.6744063
193	114.2209953
194	113.7735747
195	113.320981
196	112.8932287
197	112.4846316
198	112.0524184
199	111.6026959
200	111.186993
201	110.763389
202	110.4266278
203	110.0183682
204	109.6070506
205	109.1743022
206	108.7875055
207	108.3755358
208	107.9512371
209	107.5242825
210	107.1136261
211	106.7049416
212	106.308132
213	105.9599323
214	105.6816819
215	105.2811556
216	104.9248376
217	104.5453994
218	104.1529281
219	103.8385884
220	103.4399957
221	103.0629555
222	102.7927753
223	102.3825232
224	102.0192309
225	101.6453089
226	101.3486233
227	101.0410573
228	100.6487255
229	100.2960754
230	99.96992459
231	99.73194677
232	99.34999813
233	98.98021344
234	98.65929158
235	98.37345801
236	98.01439754
237	97.77306493
238	97.40593034
239	97.1546412
240	96.84939481
241	96.49690313
242	96.155678
243	95.82723718
244	95.51433216
245	95.18773623
246	94.91217831
247	94.57374038
248	94.30103192
249	93.98854031
250	93.66177717
251	93.33968433
252	93.05671005
253	92.74103441
254	92.41239313
255	92.08396814
256	91.80063106
257	91.46568901
258	91.15136895
259	90.83582013
260	90.59669175
261	90.32608761
262	90.04093914
263	89.80190478
264	89.57112425
265	89.27909999
266	88.98293382
267	88.73633711
268	88.46588746
269	88.20144066
270	87.88927873
271	87.60584901
272	87.31946337
273	87.03044164
274	86.76957808
275	86.50245698
276	86.23012505
277	86.01230767
278	85.72661887
279	85.49229292
280	85.21282933
281	84.95559393
282	84.69926116
283	84.43330449
284	84.23510598
285	83.96913676
286	83.71254255
287	83.52544348
288	83.26828882
289	83.07385496
290	82.87492629
291	82.62885984
292	82.40360883
293	82.1550789
294	82.00766217
295	81.74240973
296	81.48549474
297	81.22691702
298	80.97078934
299	80.71832537
300	80.47698099
301	80.24678211
302	80.01732949
303	79.78534058
304	79.55486193
305	79.32768113
306	79.09378018
307	78.87250192
308	78.63700935
309	78.40211267
310	78.17815123
311	77.95186436
312	77.72077329
313	77.49777821
314	77.28449484
315	77.10612555
316	76.88915962
317	76.66998305
318	76.44785472
319	76.23794845
320	76.04881784
321	75.90605682
322	75.67901876
323	75.45323557
324	75.25092883
325	75.10968398
326	74.89959533
327	74.69500162
328	74.47466965
329	74.27935158
330	74.07469352
331	73.89032265
332	73.68776043
333	73.49052744
334	73.30457112
335	73.11430605
336	72.93183432
337	72.75059865
338	72.54581294
339	72.357867
340	72.25277305
341	72.05879835
342	71.93033138
343	71.7279079
344	71.54982639
345	71.35800879
346	71.18438233
347	71.01622689
348	70.83020533
349	70.65769211
350	70.47645891
351	70.30983144
352	70.14405903
353	69.97778423
354	69.81549546
355	69.63272391
356	69.45839812
357	69.29855361
358	69.14531208
359	69.01810624
360	68.88499871
361	68.72727348
362	68.55313347
363	68.41464459
364	68.25640502
365	68.09631363
366	67.93516973
367	67.77544216
368	67.62626535
369	67.49715349
370	67.35513828
371	67.19395047
372	67.03592909
373	66.88807545
374	66.77577418
375	66.6378731
376	66.50309248
377	66.36777506
378	66.27632692
379	66.1328229
380	65.9930132
381	65.83512049
382	65.68249085
383	65.54828474
384	65.40687869
385	65.26553823
386	65.13722343
387	64.98569318
388	64.83826635
389	64.69388039
390	64.60211768
391	64.47487163
392	64.34523677
393	64.21587111
394	64.08505507
395	63.95566737
396	63.8134232
397	63.70976666
398	63.62996524
399	63.49762672
400	63.36429501
401	63.25253585
402	63.11575068
403	63.03062798
404	62.89822042
405	62.77354103
406	62.64173776
407	62.5611842
408	62.45486406
409	62.32757529
410	62.22865831
411	62.11625326
412	62.02416
413	61.91820133
414	61.7903575
415	61.69262526
416	61.5848646
417	61.47207744
418	61.36378301
419	61.27119736
420	61.15220213
421	61.06936221
422	60.97171126
423	60.87777029
424	60.76733479
425	60.66547349
426	60.59389714
427	60.48649763
428	60.37790251
429	60.27971591
430	60.17204852
431	60.0678269
432	59.95568234
433	59.84084627
434	59.77135916
435	59.69059363
436	59.58874774
437	59.50394074
438	59.43324551
439	59.33773432
440	59.23885569
441	59.15951946
442	59.07585216
443	58.98631497
444	58.91605102
445	58.84171334
446	58.73719101
447	58.63664812
448	58.54218789
449	58.45957313
450	58.37174352
451	58.27950516
452	58.18450897
453	58.08257101
454	57.98840608
455	57.8888545
456	57.80514279
457	57.73490549
458	57.65968154
459	57.5742549
460	57.48010884
461	57.38163551
462	57.28518937
463	57.19702059
464	57.12028637
465	57.05508788
466	56.97454677
467	56.89608894
468	56.82811628
469	56.73612186
470	56.67877824
471	56.60776752
472	56.5171333
473	56.43012284
474	56.37873672
475	56.30468154
476	56.24108129
477	56.16794603
478	56.08421362
479	56.00403868
480	55.95033112
481	55.86131483
482	55.77405461
483	55.69574782
484	55.60901763
485	55.53986651
486	55.46045521
487	55.37799084
488	55.32718647
489	55.25542897
490	55.17926397
491	55.12203942
492	55.05256295
493	54.9694947
494	54.9082478
495	54.84049058
496	54.76988612
497	54.70434299
498	54.63557682
499	54.55924927
500	54.49757253
501	54.44798565
502	54.40730992
503	54.36228554
504	54.29753457
505	54.22293228
506	54.17147825
507	54.11992826
508	54.05374254
509	53.98422454
510	53.93121338
511	53.86616644
512	53.80340052
513	53.7594442
514	53.70137987
515	53.62482525
516	53.56233293
517	53.5056386
518	53.45168614
519	53.3956409
520	53.3350671
521	53.27999614
522	53.26240001
523	53.19193021
524	53.13312662
525	53.07734773
526	53.04029247
527	52.98809903
528	52.93441237
529	52.87056062
530	52.80890748
531	52.76023323
532	52.69523399
533	52.64179391
534	52.5964105
535	52.52692233
536	52.4672459
537	52.40451231
538	52.34383043
539	52.28783384
540	52.23458015
541	52.18673368
542	52.12262581
543	52.07778098
544	52.03182829
545	51.98192511
546	51.93126654
547	51.88699771
548	51.85055945
549	51.7969696
550	51.74194356
551	51.7059437
552	51.64579216
553	51.58579996
