iter	Passed	Remaining
0	3	14680
1	7	14120
2	8	11158
3	10	10397
4	13	11006
5	17	11403
6	20	11679
7	23	11895
8	27	12049
9	30	12155
10	33	12254
11	37	12339
12	40	12404
13	43	12460
14	47	12505
15	50	12546
16	51	12152
17	55	12213
18	58	12271
19	61	12318
20	65	12364
21	68	12395
22	71	12436
23	75	12469
24	76	12230
25	80	12267
26	83	12311
27	85	12060
28	89	12227
29	92	12260
30	96	12297
31	99	12338
32	102	12366
33	106	12388
34	109	12429
35	113	12459
36	114	12299
37	118	12322
38	121	12342
39	124	12367
40	126	12256
41	128	12096
42	129	11961
43	131	11862
44	133	11742
45	137	11777
46	140	11808
47	142	11762
48	144	11652
49	147	11676
50	151	11702
51	154	11725
52	157	11749
53	161	11774
54	164	11794
55	166	11702
56	169	11724
57	172	11746
58	176	11766
59	179	11786
60	182	11810
61	186	11827
62	188	11790
63	192	11808
64	195	11823
65	198	11837
66	201	11852
67	205	11870
68	207	11807
69	209	11776
70	211	11716
71	214	11728
72	218	11765
73	221	11752
74	224	11765
75	228	11777
76	231	11790
77	234	11801
78	238	11815
79	241	11826
80	244	11841
81	248	11855
82	250	11825
83	253	11836
84	257	11849
85	260	11863
86	263	11872
87	265	11820
88	269	11828
89	272	11844
90	275	11854
91	279	11868
92	282	11876
93	286	11885
94	289	11893
95	292	11900
96	295	11909
97	299	11917
98	302	11927
99	306	11936
100	309	11943
101	312	11961
102	316	11965
103	319	11972
104	322	11979
105	326	11985
106	329	11992
107	332	11996
108	336	12001
109	339	12005
110	342	12009
111	346	12015
112	349	12022
113	353	12039
114	356	12046
115	359	12049
116	363	12054
117	366	12056
118	369	12061
119	372	12038
120	375	12041
121	378	12044
122	382	12048
123	385	12051
124	387	12013
125	390	12015
126	394	12019
127	397	12024
128	398	11966
129	402	11971
130	405	11975
131	410	12017
132	413	12019
133	418	12070
134	421	12074
135	425	12079
136	428	12094
137	432	12114
138	436	12133
139	440	12153
140	446	12233
141	449	12223
142	454	12259
143	457	12260
144	461	12260
145	464	12260
146	467	12263
147	471	12264
148	474	12263
149	477	12264
150	481	12264
151	484	12266
152	487	12269
153	491	12271
154	494	12272
155	498	12274
156	501	12277
157	504	12275
158	508	12274
159	511	12275
160	514	12275
161	517	12254
162	520	12260
163	524	12269
164	527	12270
165	531	12271
166	534	12270
167	538	12273
168	541	12273
169	544	12272
170	548	12271
171	550	12241
172	553	12242
173	556	12241
174	560	12241
175	563	12241
176	566	12242
177	570	12243
178	573	12243
179	576	12242
180	580	12243
181	583	12243
182	584	12198
183	588	12200
184	591	12200
185	595	12202
186	598	12203
187	601	12205
188	605	12206
189	608	12207
190	612	12207
191	615	12212
192	619	12211
193	622	12212
194	625	12214
195	629	12213
196	632	12214
197	636	12214
198	639	12214
199	642	12214
200	646	12213
201	649	12214
202	653	12214
203	656	12214
204	659	12212
205	663	12211
206	666	12212
207	669	12211
208	673	12211
209	676	12211
210	679	12209
211	683	12209
212	686	12210
213	690	12211
214	691	12174
215	694	12173
216	697	12157
217	700	12156
218	704	12155
219	707	12155
220	710	12154
221	714	12153
222	715	12126
223	719	12125
224	722	12123
225	725	12123
226	729	12123
227	732	12123
228	736	12127
229	739	12128
230	743	12127
231	744	12098
232	748	12097
233	751	12096
234	754	12095
235	758	12095
236	761	12095
237	763	12062
238	766	12061
239	769	12048
240	772	12045
241	775	12044
242	778	12042
243	782	12047
244	786	12046
245	788	12033
246	792	12036
247	795	12036
248	798	12034
249	802	12034
250	805	12033
251	809	12036
252	812	12036
253	816	12034
254	819	12034
255	822	12032
256	826	12032
257	829	12031
258	833	12035
259	836	12033
260	839	12032
261	843	12031
262	846	12030
263	850	12035
264	853	12034
265	857	12033
266	860	12031
267	863	12029
268	867	12027
269	870	12025
270	873	12024
271	877	12022
272	880	12019
273	883	12017
274	887	12015
275	890	12013
276	893	12011
277	897	12009
278	900	12007
279	903	12006
280	907	12004
281	910	12002
282	912	11982
283	915	11980
284	918	11978
285	922	11976
286	925	11973
287	926	11947
288	930	11945
289	933	11943
290	936	11930
291	939	11928
292	942	11926
293	945	11924
294	947	11896
295	950	11895
296	953	11893
297	957	11891
298	960	11889
299	963	11887
300	967	11887
301	970	11886
302	974	11885
303	977	11888
304	981	11886
305	984	11884
306	987	11884
307	990	11872
308	993	11870
309	997	11869
310	1000	11869
311	1003	11867
312	1007	11865
313	1010	11863
314	1013	11851
315	1016	11849
316	1019	11847
317	1023	11845
318	1026	11844
319	1030	11846
320	1033	11844
321	1036	11841
322	1040	11840
323	1043	11837
324	1046	11835
325	1048	11812
326	1051	11813
327	1055	11812
328	1058	11810
329	1061	11808
330	1065	11806
331	1068	11804
332	1071	11803
333	1075	11800
334	1078	11798
335	1081	11796
336	1085	11796
337	1088	11795
338	1091	11792
339	1095	11790
340	1096	11769
341	1100	11767
342	1103	11764
343	1106	11762
344	1110	11760
345	1113	11758
346	1116	11756
347	1120	11755
348	1123	11754
349	1127	11753
350	1130	11751
351	1133	11749
352	1137	11746
353	1140	11745
354	1143	11742
355	1146	11740
356	1150	11738
357	1153	11736
358	1157	11735
359	1160	11733
360	1163	11731
361	1167	11728
362	1170	11726
363	1173	11724
364	1177	11722
365	1180	11719
366	1183	11717
367	1187	11716
368	1190	11713
369	1193	11712
370	1197	11710
371	1200	11707
372	1203	11706
373	1207	11704
374	1210	11702
375	1213	11700
376	1217	11698
377	1220	11696
378	1223	11693
379	1227	11691
380	1230	11689
381	1233	11687
382	1237	11684
383	1240	11682
384	1243	11679
385	1247	11677
386	1250	11675
387	1253	11672
388	1257	11670
389	1260	11667
390	1263	11665
391	1267	11666
392	1270	11664
393	1274	11662
394	1277	11660
395	1281	11659
396	1284	11656
397	1287	11655
398	1291	11652
399	1294	11650
400	1297	11648
401	1301	11646
402	1304	11644
403	1307	11641
404	1311	11641
405	1314	11638
406	1318	11636
407	1321	11634
408	1324	11632
409	1328	11630
410	1331	11627
411	1334	11624
412	1338	11622
413	1341	11620
414	1344	11618
415	1348	11616
416	1351	11613
417	1354	11610
418	1358	11608
419	1361	11606
420	1365	11607
421	1368	11605
422	1372	11602
423	1375	11600
424	1379	11601
425	1382	11599
426	1384	11585
427	1387	11583
428	1391	11580
429	1394	11578
430	1397	11575
431	1401	11573
432	1404	11570
433	1407	11568
434	1411	11565
435	1414	11563
436	1417	11561
437	1421	11559
438	1424	11556
439	1428	11554
440	1431	11552
441	1434	11550
442	1438	11548
443	1441	11546
444	1445	11544
445	1448	11542
446	1451	11539
447	1455	11537
448	1458	11535
449	1462	11533
450	1465	11532
451	1469	11531
452	1472	11529
453	1476	11528
454	1479	11527
455	1482	11525
456	1486	11522
457	1489	11519
458	1492	11517
459	1496	11515
460	1499	11514
461	1503	11513
462	1506	11511
463	1510	11508
464	1513	11506
465	1516	11504
466	1520	11501
467	1523	11499
468	1527	11497
469	1530	11495
470	1533	11492
471	1537	11489
472	1540	11487
473	1544	11485
474	1547	11483
475	1550	11481
476	1554	11479
477	1557	11476
478	1560	11473
479	1564	11471
480	1567	11469
481	1571	11466
482	1574	11464
483	1577	11462
484	1581	11460
485	1584	11458
486	1588	11455
487	1591	11454
488	1595	11452
489	1598	11450
490	1601	11447
491	1605	11444
492	1608	11442
493	1611	11439
494	1615	11436
495	1618	11434
496	1621	11432
497	1625	11429
498	1628	11427
499	1632	11424
500	1635	11422
501	1638	11419
502	1642	11417
503	1645	11415
504	1649	11413
505	1652	11410
506	1655	11408
507	1659	11405
508	1662	11402
509	1665	11400
510	1669	11397
511	1672	11395
512	1676	11392
513	1679	11391
514	1682	11388
515	1686	11386
516	1689	11383
517	1693	11380
518	1696	11378
519	1699	11375
520	1703	11372
521	1706	11370
522	1707	11353
523	1711	11350
524	1714	11348
525	1717	11345
526	1721	11343
527	1724	11340
528	1728	11338
529	1731	11335
530	1734	11333
531	1738	11330
532	1741	11328
533	1744	11325
534	1748	11323
535	1751	11320
536	1755	11318
537	1758	11315
538	1762	11314
539	1765	11311
540	1768	11309
541	1772	11307
542	1775	11304
543	1779	11302
544	1782	11299
545	1785	11298
546	1789	11295
547	1792	11292
548	1796	11290
549	1799	11287
550	1802	11285
551	1806	11282
552	1809	11280
553	1813	11277
554	1816	11274
555	1819	11271
556	1823	11269
557	1826	11266
558	1829	11264
559	1833	11262
560	1836	11259
561	1840	11256
562	1843	11253
563	1846	11251
564	1850	11248
565	1853	11245
566	1856	11243
567	1860	11241
568	1863	11238
569	1867	11236
570	1870	11233
571	1873	11230
572	1877	11227
573	1880	11225
574	1884	11222
575	1887	11220
576	1890	11217
577	1894	11214
578	1897	11212
579	1901	11209
580	1904	11207
581	1907	11204
582	1911	11202
583	1914	11199
584	1918	11198
585	1921	11195
586	1924	11192
587	1928	11189
588	1931	11187
589	1935	11184
590	1938	11181
591	1941	11179
592	1945	11176
593	1948	11174
594	1952	11172
595	1955	11169
