iter	RMSE
0	262.323813
1	261.183183
2	259.9842645
3	258.7756005
4	257.4497356
5	256.1620988
6	254.9351553
7	253.7309239
8	252.603755
9	251.3798409
10	250.2079459
11	249.1218114
12	247.9699926
13	246.8030752
14	245.6781433
15	244.5827453
16	243.428349
17	242.2415502
18	241.0953821
19	240.0194695
20	238.8657197
21	237.7459117
22	236.5552901
23	235.4971625
24	234.4457557
25	233.4083462
26	232.3645229
27	231.3167758
28	230.333456
29	229.1834069
30	228.0985134
31	227.079241
32	226.0680258
33	225.020646
34	223.9344469
35	222.924516
36	221.9533097
37	220.88644
38	219.8480767
39	218.7504533
40	217.683875
41	216.7416989
42	215.6933823
43	214.5975207
44	213.6125365
45	212.5786955
46	211.6379473
47	210.6033029
48	209.6023814
49	208.5833674
50	207.6426319
51	206.6489076
52	205.6959297
53	204.736605
54	203.8263022
55	202.8461874
56	201.8506922
57	200.878487
58	199.9997843
59	199.1203999
60	198.2681826
61	197.2931934
62	196.3498539
63	195.4364488
64	194.6740275
65	193.8833715
66	193.0057396
67	192.2366242
68	191.3522419
69	190.4863954
70	189.5792505
71	188.7124142
72	187.8023973
73	186.8828361
74	186.0671141
75	185.2219913
76	184.4002128
77	183.6155957
78	182.80417
79	182.020215
80	181.1412695
81	180.2975642
82	179.5701148
83	178.8260665
84	177.9716437
85	177.2684864
86	176.531457
87	175.7150236
88	174.9391904
89	174.2100465
90	173.4617614
91	172.6484326
92	171.9346568
93	171.2396478
94	170.4946983
95	169.7132965
96	168.9528144
97	168.2509929
98	167.5357984
99	166.7881328
100	166.1322494
101	165.3659319
102	164.7231205
103	164.100467
104	163.4459598
105	162.766193
106	162.1181993
107	161.3895635
108	160.6675108
109	159.9981856
110	159.2732377
111	158.5716186
112	157.9397474
113	157.3307891
114	156.6488667
115	155.9930799
116	155.3295402
117	154.7452133
118	154.1151035
119	153.5491162
120	152.9457471
121	152.2809439
122	151.7039219
123	151.0393049
124	150.466422
125	149.8552127
126	149.2646707
127	148.5755804
128	147.9136653
129	147.3202199
130	146.642565
131	146.0719081
132	145.5119118
133	144.8848006
134	144.2593643
135	143.7658083
136	143.1672167
137	142.5319804
138	141.9524167
139	141.4157498
140	140.8015552
141	140.3153051
142	139.7828783
