iter	Passed	Remaining
0	3	13532
1	6	13455
2	8	10753
3	10	10071
4	13	10706
5	16	11166
6	20	11472
7	23	11852
8	27	12001
9	30	12094
10	33	12205
11	37	12314
12	40	12378
13	42	12200
14	44	11901
15	48	11974
16	51	12061
17	54	12123
18	58	12179
19	60	12052
20	64	12128
21	67	12172
22	70	12217
23	73	12248
24	75	12021
25	77	11776
26	80	11819
27	83	11862
28	86	11910
29	92	12199
30	95	12222
31	98	12250
32	102	12280
33	104	12145
34	107	12172
35	110	12197
36	113	12131
37	116	12154
38	119	12174
39	123	12229
40	126	12170
41	129	12186
42	132	12207
43	136	12227
44	139	12244
45	142	12259
46	145	12273
47	149	12296
48	152	12308
49	155	12319
50	159	12326
51	162	12337
52	165	12348
53	169	12360
54	172	12368
55	174	12319
56	178	12322
57	181	12332
58	183	12252
59	186	12259
60	188	12183
61	191	12190
62	195	12199
63	198	12209
64	199	12107
65	201	12037
66	204	11997
67	205	11902
68	209	11908
69	212	11919
70	215	11934
71	218	11946
72	222	11960
73	225	11971
74	228	11979
75	232	11991
76	235	12000
77	238	12010
78	242	12018
79	245	12039
80	249	12047
81	252	12055
82	253	11985
83	257	11992
84	260	12001
85	263	12009
86	265	11934
87	268	11940
88	271	11946
89	275	11952
90	278	11959
91	281	11967
92	285	11976
93	288	11983
94	291	11989
95	295	11997
96	298	12015
97	301	12022
98	305	12031
99	308	12038
100	311	12042
101	313	11998
102	315	11934
103	317	11881
104	320	11887
105	323	11894
106	327	11898
107	329	11874
108	332	11882
109	336	11888
110	339	11893
111	342	11901
112	346	11906
113	349	11911
114	352	11917
115	356	11923
116	359	11927
117	362	11935
118	366	11939
119	368	11901
120	371	11903
121	374	11907
122	377	11910
123	381	11916
124	384	11919
125	387	11923
126	391	11928
127	394	11931
128	397	11933
129	401	11937
130	404	11940
131	407	11943
132	410	11946
133	414	11953
134	417	11955
135	419	11911
136	422	11914
137	425	11917
138	429	11921
139	432	11924
140	435	11927
141	439	11928
142	442	11930
143	445	11932
144	448	11933
145	452	11936
146	455	11938
147	458	11940
148	460	11899
149	463	11901
150	466	11902
151	470	11904
152	473	11905
153	476	11907
154	480	11909
155	483	11910
156	486	11911
157	489	11911
158	493	11914
159	496	11917
160	499	11920
161	503	11923
162	504	11881
163	507	11882
164	511	11891
165	515	11895
166	518	11897
167	521	11899
168	524	11881
169	527	11881
170	530	11889
171	534	11892
172	537	11894
173	541	11896
174	544	11898
175	547	11899
176	551	11901
177	552	11856
178	555	11858
179	558	11860
180	562	11861
181	565	11863
182	566	11822
183	570	11824
184	572	11808
185	575	11810
186	579	11812
187	582	11813
188	585	11815
189	589	11815
190	592	11818
191	595	11819
192	599	11821
193	602	11822
194	605	11823
195	609	11827
196	613	11834
197	616	11835
198	619	11837
199	623	11838
200	626	11839
201	629	11839
202	633	11839
203	636	11841
204	639	11842
205	643	11843
206	646	11845
207	649	11846
208	653	11848
209	656	11849
210	659	11849
211	663	11850
212	666	11851
213	669	11851
214	671	11816
215	674	11816
216	677	11818
217	681	11818
218	684	11818
219	687	11818
220	691	11819
221	694	11819
222	697	11821
223	699	11794
224	703	11796
225	706	11797
226	709	11798
227	713	11799
228	716	11802
229	720	11803
230	723	11803
231	726	11803
232	730	11804
233	733	11805
234	736	11805
235	740	11806
236	743	11806
237	746	11806
238	750	11805
239	753	11805
240	756	11804
241	760	11804
242	763	11805
243	766	11805
244	770	11805
245	773	11804
246	776	11804
247	779	11792
248	782	11791
249	786	11790
250	789	11790
251	792	11790
252	796	11789
253	799	11788
254	802	11787
255	806	11789
256	809	11790
257	812	11790
258	816	11791
259	819	11791
260	823	11791
261	826	11790
262	829	11792
263	833	11791
264	836	11791
265	839	11789
266	843	11788
267	846	11789
268	849	11789
269	853	11787
270	856	11785
271	859	11785
272	863	11784
273	866	11782
274	869	11771
275	872	11769
276	875	11769
277	878	11767
278	882	11766
279	885	11765
280	888	11764
281	892	11763
282	895	11762
283	898	11760
284	902	11759
285	905	11757
286	908	11756
287	912	11756
288	915	11755
289	918	11755
290	922	11753
291	925	11753
292	928	11752
293	932	11750
294	935	11749
295	938	11747
296	942	11746
297	945	11744
298	948	11742
299	952	11741
300	955	11740
301	958	11739
302	961	11737
303	965	11737
304	968	11735
305	971	11733
306	975	11731
307	978	11729
308	981	11728
309	985	11726
310	988	11724
311	991	11722
312	995	11720
313	998	11719
314	1001	11719
315	1005	11718
316	1008	11717
317	1011	11715
318	1015	11713
319	1018	11713
320	1020	11690
321	1021	11669
322	1024	11668
323	1028	11666
324	1031	11665
325	1034	11663
326	1038	11665
327	1041	11664
328	1045	11662
329	1048	11661
330	1051	11658
331	1055	11657
332	1058	11655
333	1061	11653
334	1065	11651
335	1068	11649
336	1071	11648
337	1074	11646
338	1078	11644
339	1081	11643
340	1084	11641
341	1088	11639
342	1091	11638
343	1095	11637
344	1098	11636
345	1101	11634
346	1105	11633
347	1108	11631
348	1111	11630
349	1115	11628
350	1118	11627
351	1121	11625
352	1125	11623
353	1128	11622
354	1131	11620
355	1135	11618
356	1138	11617
357	1141	11615
358	1145	11613
359	1146	11595
360	1150	11593
361	1153	11592
362	1156	11591
363	1160	11589
364	1163	11587
365	1165	11572
366	1168	11570
367	1172	11568
368	1175	11567
369	1178	11565
370	1182	11563
371	1183	11543
372	1187	11542
373	1190	11540
374	1193	11538
375	1197	11538
376	1200	11536
377	1203	11534
378	1207	11533
379	1210	11531
380	1213	11530
381	1217	11528
382	1220	11526
383	1223	11524
384	1227	11523
385	1230	11521
386	1233	11519
387	1237	11517
388	1240	11516
389	1243	11514
390	1247	11512
391	1250	11511
392	1254	11510
393	1257	11508
394	1260	11505
395	1264	11504
396	1267	11502
397	1270	11500
398	1274	11498
399	1277	11496
400	1280	11494
401	1283	11491
402	1287	11489
403	1290	11488
404	1294	11487
405	1297	11485
406	1300	11483
407	1304	11481
408	1307	11479
409	1310	11477
410	1314	11475
411	1317	11473
412	1320	11472
413	1324	11470
414	1327	11468
415	1330	11465
416	1334	11463
417	1337	11461
418	1340	11459
419	1344	11457
420	1347	11455
421	1350	11454
422	1354	11451
423	1357	11449
424	1359	11436
425	1363	11436
426	1366	11433
427	1369	11431
428	1373	11429
429	1376	11427
430	1379	11425
431	1383	11423
432	1386	11421
433	1389	11419
434	1393	11417
435	1394	11402
436	1398	11400
437	1401	11399
438	1405	11397
439	1408	11395
440	1411	11393
441	1415	11391
442	1418	11389
443	1421	11386
444	1425	11385
445	1428	11383
446	1431	11381
447	1435	11379
448	1438	11377
449	1441	11375
450	1445	11373
451	1448	11370
452	1451	11368
453	1455	11366
454	1458	11364
455	1461	11361
456	1465	11359
457	1468	11357
458	1472	11355
459	1475	11353
460	1478	11351
461	1482	11349
462	1485	11346
463	1488	11345
464	1492	11342
465	1495	11340
466	1498	11338
467	1502	11336
468	1505	11335
469	1508	11333
470	1512	11331
471	1515	11328
472	1518	11326
473	1522	11324
474	1525	11322
475	1528	11319
476	1532	11317
477	1535	11315
478	1537	11298
479	1540	11295
480	1543	11293
481	1547	11291
482	1550	11289
483	1553	11287
484	1557	11285
485	1560	11282
486	1563	11280
487	1567	11278
488	1570	11276
489	1573	11274
490	1577	11271
491	1580	11269
492	1583	11267
493	1587	11265
494	1591	11267
495	1594	11265
496	1598	11263
497	1601	11260
498	1604	11258
499	1608	11256
500	1611	11254
501	1614	11251
502	1618	11249
503	1621	11247
504	1624	11245
505	1628	11243
506	1631	11240
507	1634	11238
508	1638	11239
509	1642	11237
510	1645	11235
511	1648	11232
512	1652	11230
513	1655	11228
514	1659	11226
515	1662	11223
516	1665	11221
517	1669	11219
518	1672	11216
519	1675	11214
520	1679	11212
521	1682	11210
522	1685	11207
523	1689	11205
524	1692	11202
525	1695	11200
526	1699	11198
527	1702	11195
528	1705	11193
529	1709	11191
530	1712	11188
531	1715	11185
532	1719	11183
533	1722	11181
534	1726	11178
535	1729	11176
536	1732	11173
537	1735	11170
538	1739	11170
539	1743	11168
540	1746	11165
541	1749	11163
542	1753	11161
543	1756	11159
544	1759	11157
545	1763	11154
546	1766	11152
547	1769	11149
548	1773	11146
549	1776	11143
550	1779	11141
551	1783	11139
552	1786	11136
553	1790	11134
554	1793	11131
555	1796	11129
556	1800	11127
557	1803	11124
558	1806	11121
559	1810	11119
560	1813	11117
561	1816	11114
562	1820	11112
563	1823	11109
564	1827	11108
565	1830	11105
566	1833	11102
567	1837	11100
568	1840	11098
569	1843	11095
570	1847	11092
571	1850	11089
572	1853	11087
573	1857	11084
574	1860	11081
575	1863	11079
576	1867	11077
577	1870	11075
578	1873	11067
579	1876	11065
580	1880	11064
581	1883	11061
582	1886	11059
583	1890	11057
584	1893	11055
585	1897	11052
586	1900	11049
587	1903	11047
588	1907	11044
589	1910	11041
590	1913	11039
591	1917	11036
592	1920	11033
593	1923	11031
594	1927	11029
595	1930	11026
596	1934	11024
597	1937	11021
598	1940	11019
599	1944	11018
600	1947	11016
601	1951	11013
602	1954	11010
603	1957	11007
604	1961	11005
605	1964	11002
606	1967	10999
607	1971	10996
608	1974	10994
609	1978	10992
610	1981	10990
611	1984	10987
612	1988	10985
613	1991	10982
614	1994	10979
615	1998	10977
616	2001	10974
617	2004	10971
618	2008	10969
619	2011	10968
620	2015	10965
621	2018	10962
622	2021	10959
623	2025	10956
624	2028	10954
625	2032	10953
626	2035	10950
627	2038	10947
628	2042	10945
629	2045	10942
630	2048	10939
631	2052	10937
632	2053	10923
633	2056	10920
634	2060	10917
635	2063	10915
636	2066	10912
637	2070	10909
638	2073	10906
639	2076	10904
640	2080	10901
641	2083	10899
642	2087	10896
643	2090	10893
644	2093	10890
645	2097	10887
646	2100	10884
647	2103	10882
648	2107	10879
649	2110	10876
650	2113	10874
651	2117	10871
652	2120	10869
653	2123	10866
654	2127	10863
655	2130	10860
656	2133	10857
657	2137	10854
658	2140	10851
659	2144	10850
660	2147	10848
661	2150	10845
662	2154	10843
663	2157	10840
664	2161	10837
665	2164	10834
666	2167	10832
667	2171	10829
668	2174	10826
669	2177	10823
670	2181	10821
671	2185	10821
672	2188	10818
673	2191	10815
674	2195	10813
675	2198	10810
676	2201	10807
677	2205	10804
678	2208	10802
679	2211	10799
680	2215	10796
681	2218	10793
682	2221	10791
683	2225	10788
684	2228	10785
685	2231	10782
686	2235	10779
687	2238	10776
688	2241	10773
689	2245	10770
690	2248	10767
691	2251	10765
692	2255	10762
693	2259	10761
694	2262	10758
695	2265	10755
696	2269	10753
697	2272	10750
698	2275	10747
699	2279	10744
700	2282	10741
701	2285	10738
702	2289	10736
703	2292	10733
704	2295	10730
705	2299	10727
706	2302	10724
707	2305	10721
708	2309	10718
709	2312	10715
710	2315	10712
711	2319	10709
712	2322	10706
713	2325	10703
714	2329	10700
715	2332	10698
716	2335	10695
717	2339	10692
718	2342	10690
719	2346	10687
720	2349	10684
721	2352	10681
722	2356	10678
723	2359	10675
724	2362	10673
725	2366	10670
726	2369	10667
727	2372	10664
728	2376	10662
729	2379	10659
730	2382	10656
731	2386	10653
732	2389	10651
733	2393	10648
734	2396	10645
735	2399	10642
736	2403	10639
737	2406	10636
738	2409	10634
739	2413	10631
740	2416	10628
741	2419	10625
742	2423	10622
743	2426	10618
744	2429	10616
745	2433	10614
746	2436	10611
747	2439	10607
748	2443	10605
749	2446	10602
750	2450	10599
751	2453	10596
752	2456	10593
753	2459	10590
754	2463	10587
755	2466	10585
756	2470	10582
757	2473	10580
758	2476	10576
759	2480	10573
760	2483	10570
761	2486	10567
762	2490	10565
763	2493	10562
764	2497	10559
765	2500	10556
766	2503	10553
767	2507	10550
768	2510	10547
769	2513	10544
770	2517	10541
771	2520	10540
772	2524	10537
773	2527	10534
774	2530	10531
775	2533	10527
776	2537	10524
777	2540	10521
778	2543	10518
779	2547	10515
780	2550	10512
781	2553	10509
782	2557	10507
783	2560	10504
784	2564	10501
785	2567	10498
786	2570	10495
787	2574	10492
788	2577	10489
789	2580	10486
790	2584	10484
791	2587	10481
792	2590	10478
793	2594	10475
794	2597	10472
795	2600	10469
796	2604	10465
797	2607	10464
798	2611	10461
799	2614	10458
800	2617	10455
801	2621	10452
802	2624	10449
803	2627	10445
804	2631	10442
805	2634	10439
806	2637	10436
807	2641	10433
808	2644	10431
809	2647	10428
810	2651	10425
811	2652	10413
812	2655	10410
813	2659	10407
814	2662	10404
815	2665	10401
816	2669	10398
817	2672	10395
818	2675	10392
819	2679	10389
820	2682	10387
821	2685	10384
822	2689	10381
823	2692	10378
824	2696	10375
825	2699	10372
826	2702	10369
827	2706	10366
828	2709	10365
829	2713	10362
830	2716	10359
831	2719	10356
832	2723	10353
833	2726	10350
834	2729	10347
835	2733	10344
836	2736	10341
837	2739	10338
838	2743	10335
839	2746	10332
840	2750	10330
841	2753	10327
842	2756	10324
843	2760	10321
844	2763	10318
845	2766	10315
846	2770	10312
847	2773	10309
848	2777	10306
849	2780	10303
850	2783	10300
851	2787	10298
852	2790	10294
853	2793	10291
854	2797	10288
855	2800	10285
856	2803	10282
857	2807	10279
858	2810	10276
859	2813	10273
860	2817	10270
861	2820	10267
862	2823	10264
863	2827	10261
864	2830	10258
865	2833	10255
866	2837	10252
867	2840	10248
868	2843	10245
869	2847	10242
870	2850	10239
871	2853	10237
872	2857	10234
873	2860	10231
874	2864	10229
875	2867	10226
876	2870	10223
877	2874	10219
878	2877	10216
879	2880	10213
880	2884	10210
881	2887	10208
882	2890	10204
883	2894	10201
884	2897	10198
885	2900	10195
886	2904	10192
887	2907	10189
888	2910	10186
889	2914	10183
890	2917	10180
891	2920	10177
892	2924	10174
893	2927	10171
894	2931	10168
895	2934	10165
896	2937	10162
897	2941	10159
898	2944	10156
899	2947	10153
900	2950	10149
901	2954	10147
902	2957	10144
903	2961	10142
904	2964	10139
905	2968	10135
906	2971	10132
